humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
,23.644646,120.657625,,,,0.0,64.0,0.0,64.0,102.0,105.0,0.0,1.0,64.0,01H110,桶頭(2),,,,2025-06-20T00:00:00+08:00,,,,,,
,22.305,120.644722,,,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,81R660,內獅國小,,,,2025-06-20T00:00:00+08:00,,,,,,
,23.958697,120.917931,,,,0.0,4.0,0.0,4.0,5.0,8.0,0.0,4.0,4.0,C1I240,外大坪,,,,2025-06-20T00:00:00+08:00,,,,,,
,24.625286,121.148046,,,,0.0,5.0,0.0,6.0,7.0,15.0,0.0,1.0,6.0,01D100,太閣南,,,,2025-06-20T00:00:00+08:00,,,,,,
84.0,23.158558,121.400431,,1010.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0SB70,小港漁港,,26.8,,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,,,264.0,2.2
75.0,24.870056,121.221389,,984.9,0.0,0.0,0.0,0.0,0.0,30.5,39.0,0.0,0.0,0.0,C0C670,龍潭,,26.4,,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,,,62.0,0.5
,24.011505,120.822421,,,,0.0,1.5,0.0,1.5,29.5,40.0,0.0,1.5,1.5,81H950,福龜國小,,,,2025-06-20T00:00:00+08:00,,,,,,
,23.403797,121.459474,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01S270,樟原(1),,,,2025-06-20T00:00:00+08:00,,,,,,
84.0,23.623426,120.172646,3.2,-99.0,,0.0,0.0,0.0,0.0,10.5,10.5,0.0,0.0,0.0,CAJ040,西濱S241K,-99.0,27.1,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,-99,>30,陰,60.0,1.5
,24.023289,121.411328,,,,0.0,1.0,0.0,1.0,6.0,20.5,0.0,0.0,1.0,C1T980,龍澗,,,,2025-06-20T00:00:00+08:00,,,,,,
,24.42585,121.749405,,,,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,01U450,樟林,,,,2025-06-20T00:00:00+08:00,,,,,,
93.0,24.49773,121.568625,,802.8,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,C0UB80,翠峰林道6K,,15.4,,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,,,268.0,0.4
85.0,24.982361,121.471042,3.6,-99.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,CAA050,國三S037K,-99.0,27.0,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,-99,-99,陰,30.0,0.5
100.0,22.405264,120.753181,,836.4,1.5,0.0,0.5,0.0,1.5,35.5,36.0,0.0,0.0,1.5,C0R440,大漢山,,16.4,,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,,,80.0,6.9
,24.663333,121.397222,,,,0.0,3.0,0.0,3.0,21.0,0.5,0.0,0.0,3.0,81C790,華陵,,,,2025-06-20T00:00:00+08:00,,,,,,
96.0,24.562947,120.7485,,1006.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,C0E810,西湖,,24.8,,2025-06-20T00:00:00+08:00,2025-06-20T00:00:00+08:00,,,,198.0,0.3
,23.563333,120.868728,,,,0.0,5.0,0.0,5.0,23.0,26.0,0.0,1.5,5.0,C1I340,新興橋,,,,2025-06-20T00:00:00+08:00,,,,,,
