humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
100.0,23.935639,121.508944,,993.0,44.5,1.5,240.5,20.0,392.0,404.0,536.0,47.0,107.5,46.0,C0T870,鯉魚潭,,23.3,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,0.0,0.1
100.0,24.555361,121.802628,,917.3,1.0,0.0,12.5,0.5,187.0,192.0,303.5,1.0,3.0,1.0,C0UA50,西帽山,,21.6,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,155.0,5.4
96.0,22.905944,120.688056,,958.0,7.5,2.5,83.5,3.0,138.5,146.0,156.0,11.0,15.5,10.0,C0V790,萬山,,22.7,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,180.0,1.7
,23.584167,120.695634,,,,0.0,17.0,1.0,22.0,23.0,23.0,2.0,6.0,1.0,01J970,草嶺(2),,,,2025-09-24T02:10:00+08:00,,,,,,
,23.979067,120.867742,,,,0.0,13.0,0.0,16.5,16.5,16.5,1.5,6.0,1.5,C1I550,國六W023K,,,,2025-09-24T02:10:00+08:00,,,,,,
99.0,23.866003,120.452806,,1000.6,2.0,0.5,24.0,1.0,25.0,25.0,25.0,3.0,9.5,2.5,C0G830,埤頭,,25.1,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,0.0,0.1
99.0,22.99175,120.293525,,1002.7,3.0,1.0,7.0,4.0,22.5,22.5,22.5,4.0,4.0,4.0,C0O990,媽廟,,24.8,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,0.0,0.0
100.0,23.880628,121.581981,,962.4,13.0,0.0,161.5,2.5,237.0,239.5,305.5,13.0,55.0,13.0,C0T9E0,大坑,,23.5,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,2.0,0.6
99.0,22.857861,120.516667,3.1,-99.0,,0.0,27.0,9.5,77.0,81.0,81.0,18.5,19.0,13.5,72V140,旗南農改,-99.0,23.8,2025-09-24T02:00:00+08:00,2025-09-24T02:10:00+08:00,,-99,-99,陰有雨,10.0,0.6
100.0,23.74633,120.467926,3.1,-99.0,,0.0,21.0,1.5,23.0,23.0,23.5,3.5,6.5,2.5,CAJ020,國一N234K,-99.0,24.1,2025-09-24T02:00:00+08:00,2025-09-24T02:10:00+08:00,,-99,11-15,陰有雨,30.0,1.0
100.0,24.296465,120.643135,3.2,-99.0,,0.5,19.5,1.5,23.5,23.5,24.0,5.0,13.5,3.5,CAF090,國四E5K,-99.0,23.8,2025-09-24T02:00:00+08:00,2025-09-24T02:10:00+08:00,,-99,-99,陰,180.0,0.5
66.0,25.00235,121.575728,,999.0,0.0,0.0,15.0,0.0,89.5,97.0,117.0,0.0,0.5,0.0,C0AC80,文山,,30.7,,2025-09-24T02:10:00+08:00,2025-09-24T02:00:00+08:00,,,,118.0,5.0
