humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
,24.907093,121.580097,,,,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,L1A790,翡翠,,,,2025-07-31T12:30:00+08:00,,,,,,
97.0,24.23105,120.90475,,892.4,185.5,0.0,185.5,2.0,193.0,263.0,360.5,29.0,122.5,185.5,C0FB10,出雲山苗圃,,19.2,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,167.0,2.4
-99.0,24.107155,120.554482,-99.0,-99.0,,0.0,122.0,0.0,134.5,199.0,202.5,1.0,41.5,-99.0,CAG050,國三N196K,-99.0,-99.0,2025-07-31T12:20:00+08:00,2025-07-31T12:30:00+08:00,,-99,-99,陰,-99.0,-99.0
,25.083096,121.52841,,,,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,0.0,A1AG50,劍潭山,,,,2025-07-31T12:30:00+08:00,,,,,,
81.0,23.368928,121.382931,,898.9,11.5,0.0,10.0,0.0,15.0,21.5,22.0,0.0,0.5,11.5,C0Z290,赤柯山,,25.3,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,323.0,1.0
99.0,23.340258,120.379661,2.2,-99.0,,0.0,22.5,0.0,22.5,34.5,102.5,7.0,18.0,22.5,A2N290,蘭花園區,-99.0,26.6,2025-07-31T12:20:00+08:00,2025-07-31T12:30:00+08:00,,-99,-99,陰有雷,120.0,1.7
100.0,23.14841,120.63325,,954.1,106.5,0.0,99.0,0.0,233.0,430.5,556.5,27.5,32.0,106.5,C0V820,小林,,24.3,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,3.0,0.3
90.0,22.648275,120.619247,5.7,-99.0,,0.0,38.0,0.5,79.5,212.5,310.0,5.5,19.0,38.0,C2R970,屏科大,-99.0,28.7,2025-07-31T12:20:00+08:00,2025-07-31T12:30:00+08:00,,-99,-99,陰,40.0,0.4
97.0,23.761225,120.688156,,982.5,122.0,0.5,110.5,7.5,247.0,360.0,360.0,23.5,26.0,122.5,C0I110,竹山,,24.7,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,155.0,0.6
84.0,23.596314,119.67275,,997.6,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,C0W200,湖西,,30.0,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,220.0,5.1
,25.113593,121.569411,,,,0.0,0.0,0.0,0.0,0.0,70.5,0.0,0.0,0.0,A1AB80,雙溪,,,,2025-07-31T12:30:00+08:00,,,,,,
74.0,22.567419,120.959667,,907.0,12.5,0.0,12.0,0.0,80.5,133.0,154.5,0.0,1.0,12.5,C0SA20,金崙山,,25.5,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,257.0,1.7
95.0,24.248517,120.903319,,896.5,188.5,0.5,189.5,3.0,199.5,262.5,345.0,32.5,131.5,189.5,C0F0C0,中坑,,20.2,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,179.0,0.8
93.0,23.657717,120.595144,4.4,-99.0,,3.0,40.5,4.0,113.0,187.0,188.5,28.5,28.5,37.5,C2K630,荷苞,-99.0,26.2,2025-07-31T12:20:00+08:00,2025-07-31T12:30:00+08:00,,-99,-99,陰有雨,100.0,1.6
100.0,23.478744,120.702264,6.0,-99.0,,6.0,119.0,20.5,348.5,630.0,692.0,33.5,37.5,125.0,C2M930,石卓,-99.0,19.0,2025-07-31T12:20:00+08:00,2025-07-31T12:30:00+08:00,,-99,-99,陰有雨,180.0,2.4
,25.147998,121.483915,,,,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,A1AG30,稻香里,,,,2025-07-31T12:30:00+08:00,,,,,,
,22.811862,120.398164,,,,0.0,16.0,0.0,17.0,29.0,100.0,7.0,8.0,16.0,01P390,金山,,,,2025-07-31T12:30:00+08:00,,,,,,
82.0,23.313644,121.459994,,993.3,9.5,0.0,8.5,0.0,11.5,12.0,12.0,0.0,0.5,9.5,C0SB80,長濱漁港,,27.9,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,70.0,1.9
93.0,22.332244,120.362236,,993.8,-99.0,0.0,8.0,0.0,8.0,29.5,217.0,0.0,8.0,8.0,C0R270,琉球嶼,,29.8,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,280.0,3.3
99.0,22.367722,120.590647,,999.8,30.5,0.0,30.5,0.0,40.0,87.5,175.0,13.5,19.5,30.5,C0R660,枋寮,,28.1,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,269.0,1.1
100.0,22.592333,120.614306,,996.3,26.0,0.0,26.0,0.0,51.5,209.5,300.0,4.0,14.0,26.0,C0R190,赤山,,28.0,,2025-07-31T12:30:00+08:00,2025-07-31T12:00:00+08:00,,,,32.0,1.1
,24.368617,120.940228,,,,0.0,68.5,18.5,70.5,112.0,164.5,31.5,64.0,68.5,C1E451,象鼻,,,,2025-07-31T12:30:00+08:00,,,,,,
