humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
95.0,24.836391,121.199371,3.4,-99.0,,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,CAC770,國三N072K,-99.0,25.2,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,7-10,陰,190.0,1.7
84.0,24.549447,120.696803,,995.1,0.5,0.0,0.5,0.0,2.0,2.0,8.5,0.5,0.5,0.5,C0E570,白沙屯,,27.0,,2025-07-31T02:10:00+08:00,2025-07-31T02:00:00+08:00,,,,182.0,3.6
95.0,24.1081,120.434576,10.7,-99.0,,0.5,13.5,12.0,21.0,44.0,47.0,13.5,13.5,13.0,CAG070,西濱S173K,-99.0,24.7,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,2.1,陰有雨,110.0,5.0
,23.972934,121.605986,,,,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,O1T840,花蓮,,,,2025-07-31T02:10:00+08:00,,,,,,
98.0,22.971003,120.539853,7.7,-99.0,,10.0,53.0,12.5,124.0,127.5,315.5,18.0,21.5,3.0,C2V260,月眉,-99.0,26.7,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,-99,陰有雨,230.0,2.0
87.0,24.576533,121.495333,,954.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0UA00,土場,,25.1,,2025-07-31T02:10:00+08:00,2025-07-31T02:00:00+08:00,,,,181.0,0.4
,24.056661,120.911322,,,,1.5,110.0,4.5,210.0,210.0,363.5,32.5,69.5,20.0,81H960,北港國小,,,,2025-07-31T02:10:00+08:00,,,,,,
,22.876332,120.327203,,,,0.0,3.0,3.0,8.0,8.0,106.0,3.0,3.0,3.0,01P500,阿蓮(2),,,,2025-07-31T02:10:00+08:00,,,,,,
,22.87794,121.226881,,,,0.0,14.0,5.0,38.0,42.0,44.0,7.5,9.0,7.5,C1SA70,都蘭,,,,2025-07-31T02:10:00+08:00,,,,,,
95.0,24.312558,120.824361,,957.2,1.5,0.0,21.5,1.0,73.0,73.0,131.0,5.5,21.5,1.5,C0E791,卓蘭,,24.6,,2025-07-31T02:10:00+08:00,2025-07-31T02:00:00+08:00,,,,166.0,2.2
88.0,23.226933,120.256242,,997.3,1.5,0.0,1.5,0.5,6.5,12.0,27.0,1.5,1.5,1.5,C0X060,下營,,28.6,,2025-07-31T02:10:00+08:00,2025-07-31T02:00:00+08:00,,,,237.0,5.2
91.0,23.106694,120.327528,13.0,-99.0,,0.0,7.5,2.0,26.5,27.0,51.0,5.0,5.0,4.5,CAN090,國三S342K,-99.0,28.0,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,7-10,陰有雨,240.0,5.5
88.0,24.93917,121.3239,2.4,-99.0,,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,CAA080,國三S054K,-99.0,27.2,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,>30,多雲,140.0,0.5
88.0,24.76056,120.9911,4.8,-99.0,,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,CAD060,國一S098K,-99.0,27.1,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,-99,陰,220.0,1.3
91.0,23.102614,120.227839,,996.2,-99.0,0.0,1.0,0.0,23.0,34.5,50.0,0.5,0.5,0.0,C0X150,安定,,29.2,,2025-07-31T02:10:00+08:00,2025-07-31T02:00:00+08:00,,,,247.0,5.1
92.0,24.308519,120.614471,10.8,-99.0,,1.0,48.0,19.5,105.5,105.5,106.0,45.5,48.0,29.0,CAF060,國三S168K,-99.0,24.0,2025-07-31T02:00:00+08:00,2025-07-31T02:10:00+08:00,,-99,1.7,陰有雨,160.0,6.3
99.0,23.75555,120.318925,,996.0,-99.0,0.0,7.0,6.0,11.0,25.0,35.0,6.0,6.0,6.0,C0K250,崙背,,27.4,,2025-07-31T02:10:00+08:00,2025-07-31T02:00:00+08:00,,,,245.0,4.0
,22.479722,120.9125,,,,0.5,118.0,1.5,205.5,205.5,240.5,5.5,35.5,5.0,81S540,拉里吧,,,,2025-07-31T02:10:00+08:00,,,,,,
