humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
97.0,24.414939,120.870872,4.8,-99.0,,0.5,20.5,2.0,24.0,24.5,25.0,18.0,20.5,20.5,C2E520,大湖,-99.0,24.3,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,-99,-99,陰有雨,210.0,1.8
,24.182844,120.929889,,,,0.0,22.5,2.5,28.5,29.0,29.5,12.5,22.0,24.0,C1F9C1,白冷,,,,2025-06-13T13:00:00+08:00,,,,,,
87.0,24.917736,120.968711,,1005.2,0.5,0.0,0.5,0.0,3.5,3.5,3.5,0.0,0.0,0.5,C0D690,外湖,,26.9,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,219.0,13.3
,23.265549,120.824866,,,,0.0,113.0,6.0,122.0,128.0,134.0,26.0,82.0,113.0,01V060,梅山(2),,,,2025-06-13T13:00:00+08:00,,,,,,
94.0,22.42565,120.49521,15.9,-99.0,,0.0,77.0,4.0,102.0,103.0,108.0,15.5,29.0,77.5,CAQ030,崎峰國小,-99.0,26.8,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,-99,-99,陰,200.0,8.9
90.0,23.881975,120.289544,,1005.4,34.0,0.0,34.0,0.5,34.0,34.0,34.0,15.0,22.0,34.0,C0G970,三豐,,25.0,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,170.0,8.3
93.0,23.895703,120.94135,,936.2,31.0,0.5,30.5,1.0,41.0,41.5,41.5,13.5,30.5,31.0,C0I370,魚池,,22.8,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,0.0,0.2
,22.838676,121.139022,,,,0.0,50.0,0.0,92.0,152.0,173.0,4.0,20.0,50.0,O1S650,利吉國小,,,,2025-06-13T13:00:00+08:00,,,,,,
99.0,23.903208,120.963364,1.5,-99.0,,0.0,28.5,0.5,39.0,39.5,40.0,13.0,28.0,28.5,72HA00,埔里分場,-99.0,23.1,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,-99,-99,陰,0.0,0.0
,22.935472,120.309406,,,,1.0,108.0,3.0,112.5,113.5,114.5,13.0,60.0,108.5,C1N001,沙崙,,,,2025-06-13T13:00:00+08:00,,,,,,
100.0,21.993578,120.861633,,1009.2,113.0,0.5,106.5,15.5,126.5,150.5,193.0,15.5,16.0,113.0,C0R680,佳樂水,,25.9,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,0.0,0.0
88.0,24.082025,121.608944,,1004.4,23.5,0.0,4.5,0.0,98.0,126.5,127.0,2.0,3.0,23.5,C0TA20,加灣,,26.7,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,0.0,0.2
100.0,24.368614,121.373189,,737.9,-99.0,,,,,,,,,,C0UA20,多加屯,,12.6,,,2025-06-13T13:00:00+08:00,,,,207.0,5.3
,23.006248,121.173241,,,,0.0,36.0,0.0,74.0,137.0,140.0,4.0,17.0,36.0,01S860,電光,,,,2025-06-13T13:00:00+08:00,,,,,,
92.0,24.907222,121.873428,,1007.4,4.0,0.0,1.5,0.5,53.5,82.5,82.5,1.0,1.0,4.0,C0U880,北關,,27.0,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,196.0,1.0
,24.938878,121.355555,,,,0.0,1.0,0.0,12.0,17.0,25.0,1.0,1.0,2.0,01A220,三峽,,,,2025-06-13T13:00:00+08:00,,,,,,
,23.992778,120.7625,,,,0.0,30.0,0.5,31.5,31.5,39.0,11.0,30.0,30.0,81H910,平林國小,,,,2025-06-13T13:00:00+08:00,,,,,,
89.0,24.4472,120.6428,11.4,-99.0,,0.0,8.5,3.5,8.5,8.5,8.5,7.0,8.5,8.5,CAE110,西濱S129K,-99.0,25.4,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,-99,11-15,陰,170.0,6.9
,24.254783,121.190261,,,,0.5,23.0,3.5,35.0,37.5,38.0,15.5,22.5,23.5,C1F9W0,德基,,,,2025-06-13T13:00:00+08:00,,,,,,
-99.0,24.951533,121.346294,,-99.0,-99.0,0.0,1.0,1.0,12.5,16.0,23.0,1.0,1.0,1.5,C0AD50,鶯歌,,-99.0,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,-99.0,-99.0
96.0,23.400069,119.322761,,1004.7,3.5,0.0,3.5,1.0,3.5,3.5,3.5,3.5,3.5,3.5,C0W130,花嶼,,25.9,,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,,,-99.0,-99.0
100.0,22.660269,120.494027,7.1,-99.0,,0.5,187.0,1.0,217.0,220.0,222.0,15.5,84.0,195.5,C2R170,屏東,-99.0,-99.0,2025-06-13T13:00:00+08:00,2025-06-13T13:00:00+08:00,,-99,-99,陰有雨,150.0,1.5
