humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
92.0,25.11444,121.6886,1.3,-99.0,,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,CAB030,國三S004K,-99.0,26.0,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,-99,-99,晴,0.0,0.2
,25.099395,121.528911,,,,0.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0,A1AB60,福德,,,,2025-07-31T22:00:00+08:00,,,,,,
88.0,24.105169,120.492131,,999.3,68.0,0.0,12.5,0.0,68.0,120.5,123.5,1.5,11.5,68.0,C0G9B0,和美,,26.2,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,137.0,2.1
96.0,24.23105,120.90475,,894.4,189.0,0.5,28.5,1.0,193.5,266.5,364.0,1.0,3.5,189.0,C0FB10,出雲山苗圃,,20.0,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,174.0,1.9
97.0,22.463447,120.533892,,1002.6,23.5,0.0,1.0,0.0,23.5,111.0,188.5,0.0,0.0,23.5,C0R850,林邊,,26.9,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,142.0,0.4
,24.663333,121.397222,,,,0.0,0.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,81C790,華陵,,,,2025-07-31T22:00:00+08:00,,,,,,
,24.902389,121.649896,,,,0.0,0.5,0.0,0.5,0.5,28.5,0.0,0.0,0.5,L1A810,九芎根,,,,2025-07-31T22:00:00+08:00,,,,,,
89.0,24.437042,120.778219,9.5,-99.0,,0.0,0.5,0.5,37.5,67.5,70.5,0.5,0.5,35.0,CAE560,國一S144K,-99.0,24.5,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,-99,7-10,陰,180.0,4.0
79.0,24.991622,121.491792,,995.3,-99.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,C0AG80,中和,,29.7,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,121.0,1.7
99.0,24.49999,121.08773,,761.5,-99.0,0.0,0.5,0.0,13.5,26.0,42.5,0.0,0.5,13.5,C0D750,樂山林道6k,,15.1,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,59.0,3.7
,22.997838,120.633563,,,,0.0,118.0,4.0,249.0,534.0,695.0,22.0,45.0,239.0,01V040,六龜(4),,,,2025-07-31T22:00:00+08:00,,,,,,
96.0,23.380564,119.494075,,995.7,0.0,0.0,0.0,0.0,0.0,2.0,108.0,0.0,0.0,0.0,C0W190,望安,,26.3,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,202.0,7.3
100.0,22.084681,120.863353,,965.1,69.0,0.0,26.0,0.5,69.0,114.0,238.0,1.5,7.5,69.0,C0R760,南仁湖,,24.9,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,245.0,4.5
,23.0325,120.6625,,,,0.0,191.5,0.0,354.0,673.5,803.0,0.5,67.0,330.5,81V840,新發國小,,,,2025-07-31T22:00:00+08:00,,,,,,
,24.236166,121.708898,,,,0.0,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.5,81T1B0,和仁車站,,,,2025-07-31T22:00:00+08:00,,,,,,
99.0,24.022122,121.132206,,880.3,65.0,0.0,17.5,0.0,66.0,116.5,167.5,0.0,5.0,65.0,C0I390,仁愛,,19.7,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,44.0,0.8
,23.819722,121.473333,,,,0.0,2.5,0.0,13.5,20.0,64.5,0.0,2.5,13.5,81T850,溪口國小,,,,2025-07-31T22:00:00+08:00,,,,,,
87.0,22.963017,120.327797,,996.8,-99.0,0.0,0.0,0.0,1.5,10.5,59.5,0.0,0.0,1.5,C0X170,關廟,,28.3,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,201.0,0.9
-99.0,22.370361,120.628306,,-99.0,-99.0,,,,,,,,,,C0R260,春日,,-99.0,,,2025-07-31T22:00:00+08:00,,,,-99.0,-99.0
82.0,24.783583,120.914989,,998.9,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,C0D680,香山濕地,,29.0,,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,,,212.0,8.5
-99.0,24.273503,120.947617,1.7,-99.0,,0.0,55.0,0.0,124.5,203.5,461.5,0.0,0.0,118.0,C2FA00,烏石坑,-99.0,20.5,2025-07-31T22:00:00+08:00,2025-07-31T22:00:00+08:00,,-99,-99,陰,70.0,0.4
