humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
91.0,24.763975,121.756528,3.8,1006.4,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,467080,宜蘭,4.2,28.0,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,0,>30,陰,320.0,1.7
,25.105298,121.474712,,,,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,A1AB30,中洲,,,,2025-06-08T21:10:00+08:00,,,,,,
85.0,23.419719,120.388894,,1002.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,C0M690,水上,,28.9,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,118.0,0.4
91.0,21.993578,120.861633,,1006.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0R680,佳樂水,,28.8,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,46.0,0.5
,22.855418,120.617155,,,,0.0,28.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,O1R450,新豐(1),,,,2025-06-08T21:10:00+08:00,,,,,,
92.0,24.831989,120.914439,,1004.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,C0D670,海天一線,,28.1,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,173.0,0.7
80.0,23.120802,120.079676,3.1,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN130,水試所海水繁養殖中心,-99.0,29.4,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,多雲,180.0,2.3
100.0,24.510856,121.608044,,813.1,8.0,0.0,8.0,0.0,8.0,20.0,61.5,0.0,0.5,8.0,C0U960,翠峰湖,,18.1,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,230.0,1.1
,24.991596,121.657883,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01A130,石碇(2),,,,2025-06-08T21:10:00+08:00,,,,,,
,23.406728,120.654417,,,,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,C1M390,龍美,,,,2025-06-08T21:10:00+08:00,,,,,,
100.0,24.015678,120.6213,,994.4,-99.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,C0G620,芬園,,26.8,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,270.0,0.7
84.0,24.183494,120.48713,,1004.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,C0G950,防潮門,,29.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,203.0,0.7
,24.838333,121.526111,,,,0.0,1.0,0.0,1.0,10.5,36.5,0.5,1.0,1.0,81AH90,信賢派出所,,,,2025-06-08T21:10:00+08:00,,,,,,
,24.47039,121.777318,,,,0.0,0.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,81U860,金岳國小,,,,2025-06-08T21:10:00+08:00,,,,,,
85.0,23.514319,120.229736,,1005.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,C0K550,蔦松,,28.7,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,0.0,0.0
91.0,24.041897,120.699472,,997.2,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,C0FA50,霧峰,,27.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,86.0,0.9
87.0,25.006725,121.047492,3.8,1004.4,,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,467050,新屋,7.7,28.1,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,0,>30,陰,270.0,1.6
,25.113693,121.565711,,,,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,A1AC80,明德樂園,,,,2025-06-08T21:10:00+08:00,,,,,,
92.0,24.542003,121.513453,,913.6,3.5,0.0,3.5,0.0,3.5,4.0,17.5,2.0,2.0,3.5,C0UB70,太平山中間站,,22.5,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,279.0,0.7
,23.666719,121.370128,,,,0.0,9.5,0.0,10.0,23.5,41.5,0.0,9.5,9.5,C1T950,太安,,,,2025-06-08T21:10:00+08:00,,,,,,
-99.0,24.003028,120.534389,0.8,-99.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,72G600,臺中農改,-99.0,-99.0,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,160.0,0.4
88.0,24.067969,121.209389,4.2,-99.0,,0.0,2.0,0.0,2.0,2.0,5.0,0.5,2.0,2.0,C2D740,屯原,-99.0,17.5,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,180.0,0.6
99.0,23.903208,120.963364,2.4,-99.0,,0.0,2.0,0.0,2.0,6.0,9.5,0.5,1.5,2.0,72HA00,埔里分場,-99.0,23.6,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,90.0,0.7
90.0,24.15295,120.572117,1.1,-99.0,,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,C2F000,大肚,-99.0,26.5,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,0.0,0.2
,22.513226,120.511111,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O1R630,崁頂,,,,2025-06-08T21:10:00+08:00,,,,,,
81.0,22.82315,120.236856,,1004.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0V620,永安,,29.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,207.0,0.6
,23.325933,121.439636,,,,0.0,0.0,0.0,0.0,1.0,76.0,0.0,0.0,0.0,01S260,忠勇,,,,2025-06-08T21:10:00+08:00,,,,,,
,23.0325,120.6625,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,81V840,新發國小,,,,2025-06-08T21:10:00+08:00,,,,,,
,23.535556,120.708889,,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,81M680,太和村,,,,2025-06-08T21:10:00+08:00,,,,,,
89.0,25.066881,121.658778,,1000.9,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,C0AH00,汐止,,28.4,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,0.0,0.0
,24.156667,120.756667,,,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,81F890,坪廓分校,,,,2025-06-08T21:10:00+08:00,,,,,,
88.0,22.514781,120.506914,,1003.3,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0R520,崁頂,,29.1,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,129.0,1.3
,23.110591,120.703273,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,O1V540,高中(2),,,,2025-06-08T21:10:00+08:00,,,,,,
100.0,25.136097,121.426372,,941.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,C0AK30,硬漢嶺,,24.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,204.0,1.7
82.0,24.312297,120.562242,,1002.9,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,C0F9P0,清水,,28.8,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,211.0,2.0
81.0,23.553261,120.345719,,1003.9,0.0,0.0,0.0,0.0,0.0,1.5,4.0,0.0,0.0,0.0,C0M790,新港,,28.9,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,261.0,0.3
87.0,23.416869,120.283061,1.4,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72M700,嘉義分場,-99.0,28.3,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,多雲,0.0,0.0
94.0,24.23192,120.9786,,801.3,0.0,0.0,0.0,0.0,0.5,0.5,2.5,0.0,0.0,0.0,C0FB20,雪山橋,,17.0,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,344.0,0.9
89.0,24.93917,121.3239,1.8,-99.0,,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,CAA080,國三S054K,-99.0,27.8,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,16-20,陰,110.0,0.6
92.0,23.585386,120.555581,,988.2,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,C0M770,梅山,,27.7,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,0.0,0.0
94.0,24.471892,120.704622,,1001.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,C0E590,通霄,,26.5,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,138.0,0.8
,22.898621,121.086481,,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,O1S120,鹿鳴橋,,,,2025-06-08T21:10:00+08:00,,,,,,
,23.295556,121.266944,,,,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,01T220,卓麓(4),,,,2025-06-08T21:10:00+08:00,,,,,,
,24.437089,121.379327,,,,0.0,2.0,0.0,3.0,4.0,7.0,1.0,1.0,3.0,01U080,南山,,,,2025-06-08T21:10:00+08:00,,,,,,
,22.560122,120.488328,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O1R620,新庄國小,,,,2025-06-08T21:10:00+08:00,,,,,,
80.0,22.742908,120.743678,,895.0,-99.0,0.0,6.0,0.0,6.0,6.5,7.0,0.0,0.0,6.0,C0R130,阿禮,,22.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,84.0,4.2
93.0,24.5958,120.7394,3.3,-99.0,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,CAE100,西濱N107K,-99.0,27.5,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,16-20,陰,190.0,1.1
,24.397972,120.986022,,,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,C1E461,松安,,,,2025-06-08T21:10:00+08:00,,,,,,
80.0,24.904794,121.043628,,996.4,-99.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,C0D650,湖口,,28.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,143.0,0.8
81.0,24.092464,120.701378,,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,C0F9N0,大里,,30.8,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,162.0,0.8
,24.221361,120.841069,,,,0.0,0.0,0.0,0.0,10.5,33.5,0.0,0.0,0.0,C1F911,新伯公,,,,2025-06-08T21:10:00+08:00,,,,,,
93.0,25.00235,121.575728,,1000.6,-99.0,0.0,3.5,0.0,3.5,15.5,17.5,0.0,3.5,3.5,C0AC80,文山,,27.0,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,0.0,0.0
81.0,23.649797,120.315011,,1004.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,C0K500,元長,,29.2,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,219.0,1.0
,23.905333,120.846983,,,,0.0,8.0,0.0,8.5,46.5,81.5,0.0,2.0,8.0,C1I220,樟湖,,,,2025-06-08T21:10:00+08:00,,,,,,
,24.494522,121.536435,,,,0.0,15.0,1.0,15.0,18.0,33.0,2.0,5.0,15.0,01U560,太平山(1),,,,2025-06-08T21:10:00+08:00,,,,,,
,23.641944,120.654117,,,,0.0,1.5,0.0,1.5,2.0,45.5,1.0,1.5,1.5,C1I131,桶頭,,,,2025-06-08T21:10:00+08:00,,,,,,
87.0,22.508275,120.359141,,1004.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,C0V840,鳳鼻頭,,28.9,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,57.0,0.5
79.0,22.693128,120.542622,,1000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0R480,長治,,28.7,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,0.0,0.2
,25.099395,121.528911,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1AB60,福德,,,,2025-06-08T21:10:00+08:00,,,,,,
100.0,24.121322,121.273642,,707.6,2.5,0.0,2.5,0.0,2.5,2.5,11.0,0.5,2.5,2.5,C0H990,昆陽,,11.3,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,26.0,0.4
,24.709464,120.898219,,,,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,01E120,大埔,,,,2025-06-08T21:10:00+08:00,,,,,,
89.0,24.066147,120.660919,2.2,-99.0,,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,CAF050,國三N208K,-99.0,28.8,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,190.0,0.8
80.0,24.985917,121.239833,2.2,-99.0,,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,A2C560,農工中心,-99.0,28.6,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,110.0,1.0
,25.083096,121.52841,,,,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,A1AG50,劍潭山,,,,2025-06-08T21:10:00+08:00,,,,,,
94.0,22.959547,120.369317,,992.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,C0O960,崎頂,,28.0,,2025-06-08T21:10:00+08:00,2025-06-08T21:00:00+08:00,,,,126.0,0.3
88.0,23.756972,120.681556,2.1,-99.0,,0.0,0.0,0.0,0.0,4.5,23.5,0.0,0.0,0.0,U2HA50,臺大竹山,-99.0,27.4,2025-06-08T21:10:00+08:00,2025-06-08T21:10:00+08:00,,-99,-99,陰,0.0,0.0
,23.525556,121.376111,,,,0.0,0.5,0.0,0.5,1.0,24.0,0.0,0.5,0.5,81T890,瑞北國小,,,,2025-06-08T21:10:00+08:00,,,,,,
