humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
-99.0,23.947633,120.525456,,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0G810,埔心,,-99.0,,2025-06-12T00:10:00+08:00,2025-06-12T00:00:00+08:00,,,,-99.0,-99.0
88.0,23.158558,121.400431,,1006.6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,C0SB70,小港漁港,,26.9,,2025-06-12T00:10:00+08:00,2025-06-12T00:00:00+08:00,,,,294.0,1.1
100.0,24.962606,121.888875,,948.9,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,C0UA70,桃源谷,,24.2,,2025-06-12T00:10:00+08:00,2025-06-12T00:00:00+08:00,,,,144.0,5.4
80.0,24.23192,120.9786,,-99.0,0.5,0.0,0.5,0.0,0.5,0.5,12.5,0.0,0.5,0.0,C0FB20,雪山橋,,17.1,,2025-06-12T00:10:00+08:00,2025-06-12T00:00:00+08:00,,,,285.0,1.5
88.0,24.904794,121.043628,,996.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0D650,湖口,,27.6,,2025-06-12T00:10:00+08:00,2025-06-12T00:00:00+08:00,,,,118.0,1.0
,25.069191,121.615007,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1AA50,東湖國小,,,,2025-06-12T00:10:00+08:00,,,,,,
,23.337816,120.683124,,,,0.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,81M670,新美國小,,,,2025-06-12T00:10:00+08:00,,,,,,
82.0,24.763975,121.756528,5.9,1007.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467080,宜蘭,11.5,28.8,2025-06-12T00:00:00+08:00,2025-06-12T00:10:00+08:00,,0,>30,晴,170.0,1.2
,24.106999,121.199288,,,,0.0,3.0,0.0,3.0,3.0,5.0,0.0,3.0,0.0,01H310,翠峰,,,,2025-06-12T00:10:00+08:00,,,,,,
,23.820778,120.642594,,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,C1I280,埔中,,,,2025-06-12T00:10:00+08:00,,,,,,
