humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
,24.368617,120.940228,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C1E451,象鼻,,,,2025-09-23T05:00:00+08:00,,,,,,
97.0,23.27125,121.188272,,935.1,107.5,4.0,174.5,19.5,211.0,211.5,215.0,67.0,119.0,107.5,C0Z320,清水林道,,22.4,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,258.0,1.1
,22.560122,120.488328,,,,0.0,14.0,3.0,15.0,15.0,20.0,6.0,14.0,11.0,O1R620,新庄國小,,,,2025-09-23T05:00:00+08:00,,,,,,
79.0,24.564569,120.824575,,992.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0E750,苗栗,,26.1,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,51.0,0.9
76.0,25.091966,121.192505,15.9,-99.0,,0.0,0.0,0.0,4.5,9.0,9.0,0.0,0.0,0.0,CAC060,西濱S032K,-99.0,28.6,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,16-20,陰,30.0,7.8
86.0,24.193628,120.570311,6.0,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAF980,國三N183K,-99.0,27.3,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,7-10,陰,170.0,4.0
94.0,22.971003,120.539853,5.2,-99.0,,0.0,3.5,0.0,4.0,4.0,12.0,3.0,3.5,3.5,C2V260,月眉,-99.0,24.0,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,-99,陰,270.0,0.6
88.0,24.031261,120.688133,-99.0,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G2F820,農業試驗所,-99.0,25.7,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,-99,陰,100.0,0.7
98.0,24.853233,121.830797,,1006.1,8.5,1.5,21.0,4.5,32.0,37.0,51.0,4.5,8.5,8.5,C0U860,頭城,,26.7,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,127.0,8.2
84.0,24.000394,120.431683,,997.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0G800,埔鹽,,28.4,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,179.0,0.8
67.0,24.8956,120.9649,15.3,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAD100,西濱N066K,-99.0,29.8,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,16-20,陰,100.0,7.6
74.0,24.735006,121.025192,,986.9,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,C0D580,寶山,,27.5,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,0.0,0.0
78.0,25.150211,121.403947,,998.9,0.0,0.0,1.0,0.0,12.5,22.5,23.0,0.0,0.0,0.0,C0AD10,八里,,30.3,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,94.0,2.7
,23.727778,121.4975,,,,8.5,70.5,22.0,126.0,127.0,129.0,37.5,40.5,40.5,81T860,山興分校,,,,2025-09-23T05:00:00+08:00,,,,,,
,23.691944,121.549444,,,,0.5,48.0,16.0,70.5,72.0,79.5,26.5,27.5,27.5,81T990,高山部落,,,,2025-09-23T05:00:00+08:00,,,,,,
95.0,23.241856,120.641658,,923.4,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,C0M850,表湖,,20.7,,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,,,66.0,0.7
,24.497089,121.842481,,,,0.0,58.5,16.0,87.0,92.0,119.5,19.5,37.0,21.5,C1U930,粉鳥林,,,,2025-09-23T05:00:00+08:00,,,,,,
,23.992778,120.7625,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81H910,平林國小,,,,2025-09-23T05:00:00+08:00,,,,,,
-99.0,24.186117,121.316086,,-99.0,-99.0,,,,,,,,,,C0T790,大禹嶺,,-99.0,,,2025-09-23T05:00:00+08:00,,,,-99.0,-99.0
,22.653117,120.630973,,,,0.0,96.5,10.5,99.5,99.5,99.5,37.5,74.0,67.5,81R640,佳義國小,,,,2025-09-23T05:00:00+08:00,,,,,,
99.0,22.42565,120.49521,5.2,-99.0,,0.5,42.0,3.0,43.0,43.0,43.0,9.5,34.5,21.0,CAQ030,崎峰國小,-99.0,24.5,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,-99,陰有雨,10.0,2.1
84.0,25.08694,121.6869,15.1,-99.0,,0.0,12.5,1.5,28.0,37.5,69.5,4.0,4.0,4.0,CAB020,國一S006K,-99.0,29.0,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,-99,陰,100.0,7.7
84.0,23.86045,120.557964,2.5,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C2G9A0,畜試所彰化,-99.0,27.0,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,-99,陰,130.0,0.6
,24.624996,121.751929,,,,0.0,92.0,22.0,155.0,185.0,238.0,23.0,32.0,26.0,01U120,新寮(1),,,,2025-09-23T05:00:00+08:00,,,,,,
,24.157728,121.623597,,,,3.5,124.5,11.0,178.0,178.5,186.0,32.0,68.5,51.0,C1TA00,太魯閣,,,,2025-09-23T05:00:00+08:00,,,,,,
87.0,25.066739,121.628153,11.3,-99.0,,1.5,12.5,3.0,38.0,40.5,51.0,4.5,5.0,5.0,CAA010,國一N013K,-99.0,28.0,2025-09-23T05:00:00+08:00,2025-09-23T05:00:00+08:00,,-99,-99,陰有雨,90.0,4.4
