humidity,lat,lon,peak_gust_speed,pressure,rain,rain_10min,rain_12hr,rain_1hr,rain_24hr,rain_2d,rain_3d,rain_3hr,rain_6hr,rain_now,stationId,stationName,sunshine_duration,temperature,timestamp_now,timestamp_rain,timestamp_weather,uv_index,visibility,weather,wind_dir,wind_speed
89.0,24.041897,120.699472,,1002.1,3.0,0.0,2.0,0.5,3.0,3.0,3.0,0.5,2.0,3.0,C0FA50,霧峰,,27.1,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,126.0,1.6
86.0,23.86045,120.557964,2.0,-99.0,,0.0,1.5,0.0,5.5,5.5,5.5,0.0,0.0,5.5,C2G9A0,畜試所彰化,-99.0,27.6,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,110.0,0.6
69.0,23.248397,120.986133,,775.5,-99.0,,,,,,,,,,C0S750,向陽,,16.8,,,2025-06-16T21:00:00+08:00,,,,10.0,0.3
91.0,24.74435,121.722472,,1006.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0U990,員山,,27.7,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,0.0,0.0
88.0,26.220358,119.974881,,1003.2,2.0,0.0,0.0,0.0,2.5,14.0,30.0,0.0,0.0,2.0,C0W220,北竿,,27.6,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,171.0,2.6
,22.667011,120.590911,,,,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,C1R630,龍泉,,,,2025-06-16T21:20:00+08:00,,,,,,
,24.780225,121.180437,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01D300,關西(3),,,,2025-06-16T21:20:00+08:00,,,,,,
81.0,24.989964,121.656972,6.4,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAAD70,國五S006K,-99.0,28.3,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,7-10,陰,300.0,4.5
-99.0,24.103556,120.751061,2.4,-99.0,,0.0,4.0,0.5,6.5,6.5,6.5,1.0,4.0,6.5,C2F9A0,中竹林,-99.0,24.6,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,0.0,0.2
94.0,22.845555,120.295,11.0,-99.0,,0.0,15.0,0.0,15.0,15.0,20.0,0.0,8.0,15.0,CAP010,國一S342K,-99.0,27.6,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,240.0,0.6
87.0,23.434628,120.239019,,1009.5,46.5,0.0,0.5,0.0,46.5,46.5,50.0,0.0,0.0,46.5,C0M650,朴子,,27.4,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,0.0,0.0
83.0,24.967652,121.185165,8.8,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C2C410,中央大學,-99.0,28.0,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,250.0,3.6
92.0,22.130036,120.792639,,984.5,0.5,0.0,0.5,0.0,0.5,0.5,8.5,0.0,0.5,0.5,C0R341,牡丹,,26.3,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,230.0,0.5
99.0,24.29515,121.03651,,719.9,17.5,0.5,18.0,5.0,18.0,18.0,20.0,17.5,17.5,18.0,C0FA90,小雪山林道,,9.8,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,159.0,2.0
,23.535556,120.708889,,,,0.0,43.5,0.5,43.5,43.5,45.5,16.5,43.5,43.5,81M680,太和村,,,,2025-06-16T21:20:00+08:00,,,,,,
-99.0,22.709333,120.525889,1.7,-99.0,,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,72Q010,高雄農改,-99.0,27.7,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,30.0,0.4
93.0,22.893178,120.401947,,1003.4,4.0,0.0,4.0,0.0,4.0,4.0,7.5,0.0,1.0,4.0,C0V370,古亭坑,,26.5,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,0.0,0.0
,23.754486,120.883956,,,,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,C1I310,西巒,,,,2025-06-16T21:20:00+08:00,,,,,,
90.0,24.2049,120.6552,6.9,-99.0,,0.0,13.5,0.0,17.5,17.5,17.5,0.0,13.0,17.5,CAF010,國一N174K,-99.0,27.7,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,>30,陰,210.0,3.2
,24.40135,120.837533,,,,0.0,9.0,0.5,9.0,9.0,9.0,1.0,9.0,9.0,C1E691,南湖,,,,2025-06-16T21:20:00+08:00,,,,,,
,24.985827,121.887489,,,,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,O1AH30,吉林國小,,,,2025-06-16T21:20:00+08:00,,,,,,
99.0,23.828206,120.801467,,982.2,9.5,0.0,9.5,0.0,9.5,9.5,10.0,6.0,7.5,9.5,C0I380,集集,,25.0,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,0.0,0.0
,24.491756,120.927619,,,,0.0,3.0,0.0,3.0,3.0,3.0,2.5,3.0,3.0,C1E701,八卦,,,,2025-06-16T21:20:00+08:00,,,,,,
83.0,25.184592,121.408617,,1006.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0AJ30,淡水觀海,,29.0,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,220.0,5.2
91.0,23.234405,120.096125,,1009.3,16.0,0.0,8.0,7.5,16.0,16.0,24.5,7.5,7.5,16.0,C0N040,蘆竹溝,,26.3,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,162.0,3.4
92.0,24.237116,120.688271,4.8,-99.0,,0.0,16.0,0.0,19.0,19.0,19.0,0.0,16.0,19.0,CAF030,國一S169K,-99.0,26.8,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,230.0,1.0
89.0,22.968258,120.257689,,1007.7,6.0,0.0,6.0,0.0,6.0,6.0,15.0,0.0,0.5,6.0,C0X160,仁德,,28.5,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,0.0,0.0
82.0,24.93917,121.3239,8.3,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAA080,國三S054K,-99.0,28.5,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,>30,陰,250.0,3.1
,23.934019,120.811994,,,,0.0,14.5,11.5,14.5,14.5,14.5,12.5,13.5,14.5,C1I211,蘆竹湳,,,,2025-06-16T21:20:00+08:00,,,,,,
100.0,23.468114,121.374069,,981.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0Z070,舞鶴,,26.9,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,183.0,2.8
98.0,23.689694,120.851036,,955.5,1.5,0.0,1.5,0.0,1.5,1.5,2.0,1.0,1.5,1.5,C0I080,信義,,23.9,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,242.0,0.4
,23.710574,120.917657,,,,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,01H470,西巒,,,,2025-06-16T21:20:00+08:00,,,,,,
88.0,24.081389,120.556667,2.4,-99.0,,0.0,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.5,A0G720,彰師大,-99.0,28.4,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,40.0,0.9
,25.063288,121.633793,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01AG00,社后橋,,,,2025-06-16T21:20:00+08:00,,,,,,
,24.36042,120.948417,,,,0.0,46.0,2.0,46.0,46.0,46.0,42.0,46.0,46.0,01E060,象鼻(1),,,,2025-06-16T21:20:00+08:00,,,,,,
99.0,24.870678,120.977211,,995.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0D590,新豐,,27.3,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,210.0,2.2
78.0,25.11583,121.7286,5.3,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAB010,國一S001K,-99.0,29.6,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,>30,陰,220.0,1.3
,24.367306,120.901656,,,,0.0,70.0,1.5,71.0,71.0,71.0,52.0,70.0,71.0,C1E711,馬拉邦山,,,,2025-06-16T21:20:00+08:00,,,,,,
,25.091251,121.838927,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81AI30,大粗坑,,,,2025-06-16T21:20:00+08:00,,,,,,
,24.236389,120.88,,,,0.0,41.5,0.5,42.5,42.5,42.5,20.5,40.0,42.5,81F880,中坑國小,,,,2025-06-16T21:20:00+08:00,,,,,,
86.0,23.649797,120.315011,,1009.0,47.5,0.0,0.5,0.5,48.0,48.0,52.5,0.5,0.5,48.0,C0K500,元長,,27.8,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,190.0,1.0
92.0,23.076694,120.144861,4.0,-99.0,,1.0,11.5,2.5,24.0,24.0,34.0,2.5,6.5,23.0,C2O950,安南,-99.0,26.3,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰有雷雨,290.0,0.4
,23.025684,120.337183,,,,0.0,11.0,0.0,11.0,11.0,15.0,0.0,2.0,11.0,01O710,虎頭埤,,,,2025-06-16T21:20:00+08:00,,,,,,
,24.876212,121.562992,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,01A440,大桶山,,,,2025-06-16T21:20:00+08:00,,,,,,
,25.094893,121.56991,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1AG80,金面山,,,,2025-06-16T21:20:00+08:00,,,,,,
97.0,25.182586,121.529731,8.9,-99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466910,鞍部,2.0,22.6,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,0,21-30,陰,350.0,3.4
99.0,23.68645,120.603417,,999.0,15.0,0.0,12.5,0.0,15.0,15.0,16.0,10.5,10.5,15.0,C0K560,棋山,,25.4,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,121.0,0.3
91.0,23.187875,120.0889,,1009.3,8.0,0.0,6.0,4.0,8.0,8.0,18.0,6.0,6.0,8.0,C0N010,鯤鯓國小,,27.1,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,143.0,3.6
99.0,23.568632,120.624165,5.5,-99.0,,0.0,13.5,0.0,13.5,13.5,15.5,7.5,12.5,13.5,C2M970,碧湖,-99.0,21.0,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,220.0,2.2
89.0,22.430439,120.8938,,910.2,0.0,0.0,0.0,0.0,0.0,0.5,15.0,0.0,0.0,0.0,C0S980,勝林山,,22.3,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,269.0,0.8
,24.575833,121.844167,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81U910,永樂國小,,,,2025-06-16T21:20:00+08:00,,,,,,
88.0,24.347667,120.640403,2.5,-99.0,,0.0,1.5,0.0,4.5,4.5,4.5,0.0,0.0,4.5,C2F930,大甲,-99.0,27.4,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,140.0,0.4
,24.018778,121.004456,,,,0.0,16.5,0.0,16.5,17.0,18.0,12.0,16.5,16.5,C1I400,凌霄,,,,2025-06-16T21:20:00+08:00,,,,,,
77.0,24.767147,121.057881,,994.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0D560,竹東,,28.3,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,235.0,3.1
99.0,22.991703,120.645722,1.3,-99.0,,0.0,1.0,0.0,1.0,1.0,5.5,0.5,1.0,1.0,E2P980,六龜林試,-99.0,24.8,2025-06-16T21:10:00+08:00,2025-06-16T21:20:00+08:00,,-99,-99,陰,0.0,0.0
90.0,22.829528,121.077694,2.1,-99.0,,,,,,,,,,-99.0,72S200,班鳩分場,-99.0,25.9,2025-06-16T21:10:00+08:00,,,-99,-99,多雲,230.0,0.8
81.0,23.126769,121.401914,,1006.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0SB60,白守蓮,,27.8,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,286.0,2.5
,24.579364,121.079947,,,,0.0,2.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,C1D410,白蘭,,,,2025-06-16T21:20:00+08:00,,,,,,
100.0,25.175675,121.522408,,893.4,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0AC40,大屯山,,23.0,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,297.0,10.7
99.0,23.112883,120.297219,,1010.7,19.0,0.0,19.0,0.0,19.0,19.0,24.0,0.0,0.0,19.0,C0O900,善化,,27.2,,2025-06-16T21:20:00+08:00,2025-06-16T21:00:00+08:00,,,,0.0,0.2
,22.82325,121.009389,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,C1SA50,利嘉林道,,,,2025-06-16T21:20:00+08:00,,,,,,
